N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,강원랜드,"28,750",350,+1.23%,500,"61,508","213,940",19.53,"1,435,877",-65.34,-7.92,
60,금호석유,"192,500","1,000",+0.52%,"5,000","58,650","30,468",20.51,"182,193",4.56,20.18,
61,현대건설,"51,500",600,-1.15%,"5,000","57,348","111,356",21.66,"525,734",46.48,1.84,
62,미래에셋증권,"8,560",150,-1.72%,"5,000","54,383","635,316",13.80,"1,500,180",6.50,8.94,
63,한국타이어앤테크놀로지,"43,800",700,-1.57%,500,"54,257","123,875",41.84,"274,244",8.79,5.12,
64,코웨이,"72,800",800,-1.09%,500,"53,726","73,800",59.82,"185,882",12.61,31.51,
65,F&F,"678,000","22,000",-3.14%,500,"51,944","7,661",12.12,"58,780",N/A,N/A,
66,맥쿼리인프라,"12,700",100,+0.79%,0,"51,415","404,846",14.51,"812,816",N/A,N/A,
67,삼성엔지니어링,"26,150",200,+0.77%,"5,000","51,254","196,000",34.22,"3,834,040",16.23,17.32,
68,현대중공업지주,"64,400","1,500",-2.28%,"1,000","50,872","78,993",17.50,"181,055",-14.87,-8.12,
69,KODEX 200,"40,030",535,-1.32%,0,"49,177","122,850",3.67,"8,436,704",N/A,N/A,
70,LG이노텍,"207,500","4,000",-1.89%,"5,000","49,109","23,667",27.75,"239,633",8.98,10.20,
71,일진머티리얼즈,"106,500","6,000",+5.97%,500,"49,108","46,111",10.80,"1,443,349",103.20,7.23,
72,한국금융지주,"83,800","2,800",-3.23%,"5,000","46,698","55,726",35.12,"371,624",3.98,16.27,
73,에스디바이오센서,"45,050","1,650",-3.53%,500,"46,524","103,271",2.87,"589,050",6.83,139.97,
74,오리온,"117,500","3,000",-2.49%,500,"46,455","39,536",39.57,"76,867",19.27,15.50,
75,이마트,"165,000","4,500",-2.65%,"5,000","45,995","27,876",35.23,"174,664",8.14,4.05,
76,메리츠금융지주,"34,050",550,+1.64%,500,"45,631","134,011",8.35,"168,186",7.38,16.06,
77,한국가스공사,"48,300",550,+1.15%,"5,000","44,587","92,313",7.56,"4,496,809",17.69,-2.24,
78,DB손해보험,"62,300","2,600",-4.01%,500,"44,108","70,800",42.96,"217,113",6.39,9.08,
79,유한양행,"60,900",300,-0.49%,"1,000","42,614","69,973",18.16,"205,506",44.29,11.06,
80,삼성증권,"47,200",650,-1.36%,"5,000","42,150","89,300",30.22,"408,585",4.61,9.89,
81,한미사이언스,"61,700",200,+0.33%,500,"41,527","67,305",1.60,"170,013",135.90,3.47,
82,GS,"44,450","1,300",-2.84%,"5,000","41,301","92,915",19.26,"338,665",5.06,-2.82,
83,아모레G,"49,750",550,+1.12%,500,"41,023","82,458",16.87,"173,251",31.69,0.31,
84,쌍용C&E,"8,010",180,-2.20%,100,"40,359","503,860",3.64,"1,230,035",25.84,7.92,
85,한진칼,"60,200","2,200",-3.53%,"2,500","40,177","66,739",14.86,"156,237",-41.09,-19.55,
86,두산밥캣,"39,750",250,+0.63%,500,"39,849","100,249",25.73,"186,819",10.46,6.15,
87,한솔케미칼,"349,500","10,000",-2.78%,"5,000","39,616","11,335",42.04,"98,353",27.83,24.50,
88,팬오션,"7,410",320,-4.14%,"1,000","39,612","534,570",12.38,"6,380,086",22.73,3.25,
89,녹십자,"332,500","2,500",+0.76%,"5,000","38,858","11,687",21.56,"215,525",41.57,7.48,
90,삼성카드,"33,500",200,-0.59%,"5,000","38,813","115,859",8.04,"151,102",8.47,5.69,
91,삼성중공업,"6,160",70,-1.12%,"1,000","38,808","630,000",14.16,"3,307,892",-2.70,-33.06,
92,KCC,"435,000",500,-0.11%,"5,000","38,656","8,886",13.68,"60,094",4.53,12.79,
93,OCI,"160,500","4,000",+2.56%,"5,000","38,278","23,849",20.52,"802,662",132.21,-9.89,
94,GS건설,"42,450",800,-1.85%,"5,000","36,329","85,581",26.49,"576,707",11.20,7.68,
95,NH투자증권,"12,750",250,-1.92%,"5,000","35,880","281,409",18.71,"868,834",4.54,10.32,
96,메리츠화재,"29,700",300,-1.00%,500,"35,826","120,625",10.86,"200,494",6.78,16.91,
97,CJ대한통운,"156,500","3,000",-1.88%,"5,000","35,701","22,812",23.00,"49,409",102.56,3.89,
98,롯데지주,"33,700",550,-1.61%,200,"35,354","104,909",8.27,"157,770",48.14,-3.03,
99,효성첨단소재,"789,000","9,000",-1.13%,"5,000","35,347","4,480",13.78,"73,330",24.04,0.03,
100,현대차2우B,"96,300",400,-0.41%,"5,000","35,135","36,485",60.87,"97,150",6.98,N/A,
101,메리츠증권,"4,980",50,-0.99%,"1,000","33,950","681,731",14.39,"1,461,474",5.31,13.08,
